Date_heure;Q_SJV;H_SJV;Q_SML;H_SML
28/07/2022 00:00;1.6;159;1.49;445
28/07/2022 00:15;1.61;160;1.51;446
28/07/2022 00:30;1.62;160;1.49;445
28/07/2022 00:45;1.63;161;1.5;446
28/07/2022 01:00;1.59;158;1.5;446
28/07/2022 01:15;1.6;159;1.49;445
28/07/2022 01:30;1.62;160;1.49;445
28/07/2022 01:45;1.66;164;1.5;446
28/07/2022 02:00;1.63;161;1.49;445
28/07/2022 02:15;1.6;159;1.51;446
28/07/2022 02:30;1.57;156;1.5;446
28/07/2022 02:45;1.65;163;1.5;445
28/07/2022 03:00;1.6;159;1.49;445
28/07/2022 03:15;1.6;159;1.5;446
28/07/2022 03:30;1.6;159;1.52;447
28/07/2022 03:45;1.6;159;1.49;445
28/07/2022 04:00;1.65;163;1.49;445
28/07/2022 04:15;1.63;162;1.51;446
28/07/2022 04:30;1.62;160;1.5;445
28/07/2022 04:45;1.65;163;1.5;445
28/07/2022 05:00;1.6;159;1.51;446
28/07/2022 05:15;1.6;159;1.52;447
28/07/2022 05:30;1.6;159;1.51;447
28/07/2022 05:45;1.6;159;1.51;446
28/07/2022 06:00;1.63;162;1.52;447
28/07/2022 06:15;1.66;164;1.53;448
28/07/2022 06:30;1.61;160;1.51;447
28/07/2022 06:45;1.56;155;1.51;446
28/07/2022 07:00;1.56;155;1.52;447
28/07/2022 07:15;1.56;155;1.53;448
28/07/2022 07:30;1.55;155;1.51;447
28/07/2022 07:45;1.55;154;1.51;446
28/07/2022 08:00;1.55;154;1.51;446
28/07/2022 08:15;1.55;154;1.51;447
28/07/2022 08:30;1.58;157;1.52;447
28/07/2022 08:45;1.6;159;1.52;447
28/07/2022 09:00;1.52;151;1.51;446
28/07/2022 09:15;1.56;155;1.49;445
28/07/2022 09:30;1.5;150;1.51;446
28/07/2022 09:45;1.56;155;1.51;446
28/07/2022 10:00;1.52;151;1.51;447
28/07/2022 10:15;1.57;156;1.52;447
28/07/2022 10:30;1.52;151;1.55;449
28/07/2022 10:45;1.51;151;1.55;449
28/07/2022 11:00;1.5;150;1.56;450
28/07/2022 11:15;1.5;150;1.58;452
28/07/2022 11:30;1.49;149;1.57;451
28/07/2022 11:45;1.54;153;1.57;450
28/07/2022 12:00;1.49;149;1.57;451
28/07/2022 12:15;1.54;153;1.55;449
28/07/2022 12:30;1.5;150;1.55;449
28/07/2022 12:45;1.47;147;1.55;449
28/07/2022 13:00;1.44;144;1.55;450
28/07/2022 13:15;1.46;146;1.56;450
28/07/2022 13:30;1.48;148;1.56;450
28/07/2022 13:45;1.5;150;1.55;449
28/07/2022 14:00;1.47;147;1.51;446
28/07/2022 14:15;1.43;143;1.55;449
28/07/2022 14:30;1.47;147;1.57;451
28/07/2022 14:45;1.52;151;1.51;446
28/07/2022 15:00;1.51;151;1.5;445
28/07/2022 15:15;1.5;150;1.52;447
28/07/2022 15:30;1.5;150;1.52;447
28/07/2022 15:45;1.49;149;1.5;446
28/07/2022 16:00;1.49;149;1.51;446
28/07/2022 16:15;1.48;148;1.53;448
28/07/2022 16:30;1.48;148;1.52;447
28/07/2022 16:45;1.47;147;1.51;447
28/07/2022 17:00;1.47;147;1.51;446
28/07/2022 17:15;1.46;146;1.51;447
28/07/2022 17:30;1.52;151;1.52;447
28/07/2022 17:45;1.46;146;1.53;448
28/07/2022 18:00;1.54;153;1.53;448
28/07/2022 18:15;1.52;152;1.51;446
28/07/2022 18:30;1.5;150;1.52;447
28/07/2022 18:45;1.54;153;1.52;447
28/07/2022 19:00;1.52;151;1.5;446
28/07/2022 19:15;1.56;155;1.5;445
28/07/2022 19:30;1.52;151;1.49;445
28/07/2022 19:45;1.59;158;1.49;445
28/07/2022 20:00;1.62;160;1.49;445
28/07/2022 20:15;1.54;153;1.49;445
28/07/2022 20:30;1.52;151;1.52;447
28/07/2022 20:45;1.57;156;1.52;447
28/07/2022 21:00;1.57;156;1.52;447
28/07/2022 21:15;1.57;156;1.52;447
28/07/2022 21:30;1.57;156;1.53;448
28/07/2022 21:45;1.56;155;1.55;449
28/07/2022 22:00;1.56;155;1.53;448
28/07/2022 22:15;1.56;155;1.55;449
28/07/2022 22:30;1.59;158;1.54;448
28/07/2022 22:45;1.56;155;1.53;448
28/07/2022 23:00;1.59;158;1.53;448
28/07/2022 23:15;1.56;155;1.54;449
28/07/2022 23:30;1.58;157;1.54;448
28/07/2022 23:45;1.59;158;1.54;449
29/07/2022 00:00;1.54;153;1.54;449
29/07/2022 00:15;1.6;159;1.53;448
29/07/2022 00:30;1.58;157;1.53;448
29/07/2022 00:45;1.56;155;1.53;448
29/07/2022 01:00;1.6;159;1.53;448
29/07/2022 01:15;1.58;157;1.53;448
29/07/2022 01:30;1.56;155;1.53;448
29/07/2022 01:45;1.56;155;1.54;449
29/07/2022 02:00;1.55;154;1.56;450
29/07/2022 02:15;1.55;154;1.53;448
29/07/2022 02:30;1.59;158;1.54;448
29/07/2022 02:45;1.57;156;1.54;449
29/07/2022 03:00;1.6;159;1.54;449
29/07/2022 03:15;1.54;153;1.54;449
29/07/2022 03:30;1.54;153;1.54;448
29/07/2022 03:45;1.55;154;1.53;448
29/07/2022 04:00;1.56;155;1.54;448
29/07/2022 04:15;1.57;156;1.54;449
29/07/2022 04:30;1.58;156;1.55;449
29/07/2022 04:45;1.58;157;1.53;448
29/07/2022 05:00;1.59;158;1.52;447
29/07/2022 05:15;1.57;156;1.52;447
29/07/2022 05:30;1.54;153;1.52;447
29/07/2022 05:45;1.6;159;1.53;448
29/07/2022 06:00;1.6;158;1.53;448
29/07/2022 06:15;1.59;157;1.52;447
29/07/2022 06:30;1.58;157;1.51;446
29/07/2022 06:45;1.57;156;1.53;448
29/07/2022 07:00;1.56;155;1.55;449
29/07/2022 07:15;1.55;154;1.55;449
29/07/2022 07:30;1.58;157;1.55;449
29/07/2022 07:45;1.6;159;1.55;449
29/07/2022 08:00;1.59;158;1.55;449
29/07/2022 08:15;1.58;157;1.55;449
29/07/2022 08:30;1.57;156;1.55;449
29/07/2022 08:45;1.52;151;1.56;450
29/07/2022 09:00;1.55;154;1.56;450
29/07/2022 09:15;1.55;154;1.57;451
29/07/2022 09:30;1.55;154;1.59;452
29/07/2022 09:45;1.55;154;1.57;451
29/07/2022 10:00;1.55;154;1.59;453
29/07/2022 10:15;1.55;154;1.59;452
29/07/2022 10:30;1.52;151;1.6;453
29/07/2022 10:45;1.52;151;1.61;454
29/07/2022 11:00;1.52;151;1.64;456
29/07/2022 11:15;1.45;145;1.64;456
29/07/2022 11:30;1.5;150;1.63;455
29/07/2022 11:45;1.5;150;1.61;454
29/07/2022 12:00;1.5;150;1.61;453
29/07/2022 12:15;1.5;150;1.62;455
29/07/2022 12:30;1.5;149;1.64;456
29/07/2022 12:45;1.49;149;1.63;455
29/07/2022 13:00;1.49;149;1.61;454
29/07/2022 13:15;1.46;146;1.61;454
29/07/2022 13:30;1.49;149;1.62;454
29/07/2022 13:45;1.44;144;1.62;455
29/07/2022 14:00;1.47;147;1.6;453
29/07/2022 14:15;1.49;149;1.61;454
29/07/2022 14:30;1.46;146;1.62;455
29/07/2022 14:45;1.48;148;1.62;454
29/07/2022 15:00;1.5;150;1.61;454
29/07/2022 15:15;1.5;150;1.63;455
29/07/2022 15:30;1.49;149;1.62;455
29/07/2022 15:45;1.45;145;1.62;454
29/07/2022 16:00;1.49;149;1.62;455
29/07/2022 16:15;1.5;150;1.64;456
29/07/2022 16:30;1.51;151;1.62;455
29/07/2022 16:45;1.52;152;1.61;454
29/07/2022 17:00;1.53;152;1.6;453
29/07/2022 17:15;1.54;153;1.58;451
29/07/2022 17:30;1.55;154;1.58;452
29/07/2022 17:45;1.56;155;1.58;451
29/07/2022 18:00;1.55;154;1.57;451
29/07/2022 18:15;1.54;153;1.57;451
29/07/2022 18:30;1.57;156;1.56;450
29/07/2022 18:45;1.59;158;1.55;449
29/07/2022 19:00;1.57;156;1.53;448
29/07/2022 19:15;1.55;155;1.52;447
29/07/2022 19:30;1.53;153;1.49;445
29/07/2022 19:45;1.52;151;1.52;447
29/07/2022 20:00;1.6;159;1.51;447
29/07/2022 20:15;1.57;156;1.51;446
29/07/2022 20:30;1.62;160;1.53;448
29/07/2022 20:45;1.59;158;1.54;448
29/07/2022 21:00;1.57;156;1.55;449
29/07/2022 21:15;1.59;158;1.57;451
29/07/2022 21:30;1.6;159;1.57;451
29/07/2022 21:45;1.62;161;1.57;450
29/07/2022 22:00;1.64;162;1.56;450
29/07/2022 22:15;1.66;164;1.57;450
29/07/2022 22:30;1.67;165;1.57;451
29/07/2022 22:45;1.64;163;1.56;450
29/07/2022 23:00;1.62;160;1.57;451
29/07/2022 23:15;1.62;160;1.56;450
29/07/2022 23:30;1.62;161;1.55;449
29/07/2022 23:45;1.62;161;1.56;450
30/07/2022 00:00;1.63;161;1.56;450
30/07/2022 00:15;1.59;158;1.55;449
30/07/2022 00:30;1.55;154;1.59;452
30/07/2022 00:45;1.62;160;1.58;452
30/07/2022 01:00;1.59;158;1.58;451
30/07/2022 01:15;1.57;156;1.59;452
30/07/2022 01:30;1.57;156;1.58;452
30/07/2022 01:45;1.57;156;1.57;451
30/07/2022 02:00;1.57;156;1.58;452
30/07/2022 02:15;1.57;156;1.59;452
30/07/2022 02:30;1.57;156;1.6;453
30/07/2022 02:45;1.57;156;1.61;454
30/07/2022 03:00;1.59;157;1.61;454
30/07/2022 03:15;1.6;159;1.59;452
30/07/2022 03:30;1.61;160;1.58;452
