Secteur;Date;Heure;Code;Esp;"Taille
(mm)";"Poids
(g)";Remarques
S6;08/09/2022;112656;8000E1349EC16C80;CHE;100;14;
S6;08/09/2022;112755;8000E1349EC16C58;CHE;107;13;
S6;08/09/2022;112830;8000E1349EC16C71;CHE;107;13;
S6;08/09/2022;112913;8000E1349EC16B84;CHE;93;7;
S6;08/09/2022;112945;8000E1349EC16C79;CHE;119;16;
S6;08/09/2022;113051;8000E13515E117D6;CHE;142;29;
S6;08/09/2022;113122;8000E13515E11806;CHE;172;48;
S6;08/09/2022;113207;8000E13515E117DD;CHE;168;46;
S6;08/09/2022;113243;8000E1349EAB978F;CHE;107;12;
S6;08/09/2022;113319;8000E1349EC16B28;CHE;90;7;
S6;08/09/2022;113347;8000E13515E117FA;CHE;164;44;
S6;08/09/2022;113527;8000E13515E117DB;CHE;240;132;
S6;08/09/2022;113607;8000E13515E11810;CHE;269;202;
S6;08/09/2022;113926;8000E1349EC16B6D;CHE;93;9;
S6;08/09/2022;114012;8000E1349EC16C72;CHE;98;10;
S6;08/09/2022;114113;8000E1349EC16B40;CHE;116;16;
S6;08/09/2022;114145;8000E13515E11800;CHE;158;38;
S6;08/09/2022;114212;8000E13515E117F6;CHE;147;33;
S6;08/09/2022;114236;8000E13515E117ED;CHE;171;49;
S6;08/09/2022;114259;8000E13515E117E7;CHE;230;121;
S6;08/09/2022;114343;8000E13515E11811;CHE;305;265;
S6;08/09/2022;114517;8000E1349EC16B2E;BAF;92;9;
S6;08/09/2022;114740;8000E13515E117E4;BAF;199;66;
S6;08/09/2022;114815;8000E13515E11815;BAF;179;45;
S6;08/09/2022;114848;8000E13515E11812;BAF;129;18;
S6;08/09/2022;114953;8000E13515E117EE;BAF;193;61;
S6;08/09/2022;115039;8000E13515E11818;BAF;273;153;
S6;08/09/2022;115128;8000E13515E117F0;BAF;266;154;
S6;08/09/2022;115239;8000E1349EC16B42;BAF;119;17;
S6;08/09/2022;115409;8000E13515E117EF;BAF;273;154;
S6;08/09/2022;115513;8000E13515E11804;BAF;227;89;
S6;08/09/2022;115556;8000E13515E117DC;BAF;224;81;
S6;08/09/2022;115626;8000E13515E117EB;BAF;268;151;
S6;08/09/2022;115658;8000E13515E117D1;BAF;241;114;
S6;08/09/2022;115733;8000E13515E117FD;BAF;282;182;
S6;08/09/2022;115904;8000E13515E1181B;BAF;162;39;
S6;08/09/2022;120129;8000E13515E117E0;BAF;172;39;
S6;08/09/2022;120201;8000E13515E11808;BAF;156;31;
S6;08/09/2022;120243;8000E1349EAB9A9C;BAF;96;8;
S6;08/09/2022;120333;8000E1349EAB9A8A;BAF;100;9;
S6;08/09/2022;120415;8000E13515E1181A;BAF;188;55;
S6;08/09/2022;120455;8000E13515E117E9;BAF;218;84;
S6;08/09/2022;120635;8000E13515E11809;BAF;243;110;
S6;08/09/2022;120910;8000E1349EC16B30;BAF;100;12;
S6;08/09/2022;120936;8000E1349EC16B66;BAF;107;10;
S6;08/09/2022;121302;8000E13515E117FB;BAF;142;26;
S6;08/09/2022;121332;8000E13515E117C6;BAF;175;45;
S6;08/09/2022;121350;8000E13515E117C7;BAF;167;39;
S6;08/09/2022;121417;8000E13515E117E5;BAF;182;49;
S6;08/09/2022;121452;8000E13515E1181D;BAF;175;43;
S6;08/09/2022;121529;8000E13515E1180A;BAF;174;46;
S6;08/09/2022;121557;8000E1349EC16CB4;BAF;85;7;
S6;08/09/2022;121634;8000E1349EAB9A79;BAF;109;12;
S6;08/09/2022;121655;8000E1349EC16C62;BAF;119;13;
S6;08/09/2022;121754;8000E13515E117C8;BAF;179;45;
S6;08/09/2022;121824;8000E13515E117D7;BAF;132;18;
S6;08/09/2022;121853;8000E13515E1180D;BAF;172;41;
S6;08/09/2022;121916;8000E13515E11802;BAF;175;42;
S6;08/09/2022;121939;8000E13515E1181E;BAF;157;33;
S6;08/09/2022;122011;8000E13515E117DE;BAF;140;19;
S6;08/09/2022;122032;8000E13515E1180E;BAF;177;40;
S6;08/09/2022;122052;8000E13515E117E8;BAF;195;61;
S6;08/09/2022;122118;8000E13515E117C9;BAF;202;64;
S6;08/09/2022;122136;8000E13515E117C5;BAF;233;102;
S6;08/09/2022;122206;8000E13515E117EC;BAF;251;132;
S6;08/09/2022;122234;8000E13515E117FC;BAF;300;242;
