Date_heure;T_amont;T_aval
28/07/2022 08:00:00;22.80;
28/07/2022 09:00:00;22.78;
28/07/2022 10:00:00;22.75;
28/07/2022 11:00:00;22.73;
28/07/2022 12:00:00;22.75;
28/07/2022 13:00:00;22.73;
28/07/2022 14:00:00;22.71;
28/07/2022 15:00:00;22.73;
28/07/2022 16:00:00;22.68;
28/07/2022 17:00:00;22.66;
28/07/2022 18:00:00;22.75;
28/07/2022 19:00:00;22.73;
28/07/2022 20:00:00;22.87;
28/07/2022 21:00:00;22.82;
28/07/2022 22:00:00;22.78;
28/07/2022 23:00:00;22.78;
29/07/2022 00:00:00;22.78;
29/07/2022 01:00:00;22.82;
29/07/2022 02:00:00;22.87;
29/07/2022 03:00:00;22.94;
29/07/2022 04:00:00;22.99;
29/07/2022 05:00:00;22.99;
29/07/2022 06:00:00;22.99;
29/07/2022 07:00:00;22.94;
29/07/2022 08:00:00;22.92;
29/07/2022 09:00:00;22.97;
29/07/2022 10:00:00;22.94;
29/07/2022 11:00:00;22.97;
29/07/2022 12:00:00;23.06;
29/07/2022 13:00:00;23.09;
29/07/2022 14:00:00;23.09;
29/07/2022 15:00:00;23.04;
29/07/2022 16:00:00;23.06;
29/07/2022 17:00:00;23.06;
29/07/2022 18:00:00;23.04;
29/07/2022 19:00:00;22.99;
29/07/2022 20:00:00;23.06;
29/07/2022 21:00:00;23.09;
29/07/2022 22:00:00;22.99;
29/07/2022 23:00:00;22.92;
30/07/2022 00:00:00;22.85;
30/07/2022 01:00:00;22.82;
30/07/2022 02:00:00;22.85;
30/07/2022 03:00:00;22.87;
30/07/2022 04:00:00;22.90;
30/07/2022 05:00:00;22.92;
30/07/2022 06:00:00;22.92;
30/07/2022 07:00:00;22.92;
30/07/2022 08:00:00;23.09;
30/07/2022 09:00:00;23.09;
30/07/2022 10:00:00;23.11;
30/07/2022 11:00:00;23.23;
30/07/2022 12:00:00;23.21;
30/07/2022 13:00:00;23.30;
30/07/2022 14:00:00;23.35;
30/07/2022 15:00:00;23.42;
30/07/2022 16:00:00;23.35;
30/07/2022 17:00:00;23.47;
30/07/2022 18:00:00;23.33;
30/07/2022 19:00:00;23.33;
30/07/2022 20:00:00;23.59;
30/07/2022 21:00:00;23.45;
30/07/2022 22:00:00;23.35;
30/07/2022 23:00:00;23.28;
31/07/2022 00:00:00;23.21;
31/07/2022 01:00:00;23.16;
31/07/2022 02:00:00;23.14;
31/07/2022 03:00:00;23.14;
31/07/2022 04:00:00;23.14;
31/07/2022 05:00:00;23.11;
31/07/2022 06:00:00;23.09;
31/07/2022 07:00:00;23.04;
31/07/2022 08:00:00;23.14;
31/07/2022 09:00:00;23.11;
31/07/2022 10:00:00;23.21;
31/07/2022 11:00:00;23.21;
31/07/2022 12:00:00;23.28;
31/07/2022 13:00:00;23.50;
31/07/2022 14:00:00;23.30;
31/07/2022 15:00:00;23.42;
31/07/2022 16:00:00;23.35;
31/07/2022 17:00:00;23.40;
31/07/2022 18:00:00;23.47;
31/07/2022 19:00:00;23.47;
31/07/2022 20:00:00;23.59;
31/07/2022 21:00:00;23.74;
31/07/2022 22:00:00;23.52;
31/07/2022 23:00:00;23.47;
01/08/2022 00:00:00;23.40;
01/08/2022 01:00:00;23.40;
01/08/2022 02:00:00;23.40;
01/08/2022 03:00:00;23.42;
01/08/2022 04:00:00;23.42;
01/08/2022 05:00:00;23.40;
01/08/2022 06:00:00;23.35;
01/08/2022 07:00:00;23.30;
01/08/2022 08:00:00;23.40;
01/08/2022 09:00:00;23.45;
01/08/2022 10:00:00;23.50;
01/08/2022 11:00:00;23.55;
01/08/2022 12:00:00;23.52;
01/08/2022 13:00:00;23.52;
01/08/2022 14:00:00;23.81;
